,osmid,y,x,street_cou,ref,highway,DAUID,DGUID,LANDAREA,PRUID,CHARACTERI,POPULATION,DENSITY,geometry
65,31362018,43.6761779,-79.3374728,3,,,35200714,2021S051235200714,0.0442,35,"Population, 2021",397.0,8981.90045249,POINT (-79.3374728 43.6761779)
66,31361920,43.6767399,-79.3388055,3,,,35200717,2021S051235200717,0.0453,35,"Population, 2021",435.0,9602.64900662,POINT (-79.3388055 43.6767399)
67,31361919,43.6772649,-79.3363219,3,,,35200719,2021S051235200719,0.3173,35,"Population, 2021",922.0,2905.76741254,POINT (-79.3363219 43.6772649)
68,31361922,43.6771282,-79.3369835,3,,,35200719,2021S051235200719,0.3173,35,"Population, 2021",922.0,2905.76741254,POINT (-79.3369835 43.6771282)
69,31361929,43.6787399,-79.3396597,3,,,35200719,2021S051235200719,0.3173,35,"Population, 2021",922.0,2905.76741254,POINT (-79.3396597 43.6787399)
70,31361932,43.6760466,-79.3337667,1,,,35200719,2021S051235200719,0.3173,35,"Population, 2021",922.0,2905.76741254,POINT (-79.3337667 43.6760466)
71,31362066,43.67717,-79.3348409,3,,,35200719,2021S051235200719,0.3173,35,"Population, 2021",922.0,2905.76741254,POINT (-79.3348409 43.67717)
72,31362068,43.6759434,-79.3342498,4,,stop,35200719,2021S051235200719,0.3173,35,"Population, 2021",922.0,2905.76741254,POINT (-79.3342498 43.6759434)
73,31362107,43.6772812,-79.3343626,1,,,35200719,2021S051235200719,0.3173,35,"Population, 2021",922.0,2905.76741254,POINT (-79.3343626 43.6772812)
74,31362108,43.676838,-79.3361377,3,,,35200719,2021S051235200719,0.3173,35,"Population, 2021",922.0,2905.76741254,POINT (-79.3361377 43.676838)
75,32188011,43.6808404,-79.3353406,3,,,35200720,2021S051235200720,0.0649,35,"Population, 2021",530.0,8166.40986133,POINT (-79.3353406 43.6808404)
76,32441282,43.6820317,-79.3523281,4,,stop,35200733,2021S051235200733,0.0437,35,"Population, 2021",506.0,11578.9473684,POINT (-79.3523281 43.6820317)
77,32441334,43.6825125,-79.3498968,3,,,35200733,2021S051235200733,0.0437,35,"Population, 2021",506.0,11578.9473684,POINT (-79.3498968 43.6825125)
78,32441343,43.6827069,-79.3489247,4,,stop,35200733,2021S051235200733,0.0437,35,"Population, 2021",506.0,11578.9473684,POINT (-79.3489247 43.6827069)
79,32441287,43.6828788,-79.3526445,4,,stop,35200736,2021S051235200736,0.0339,35,"Population, 2021",388.0,11445.4277286,POINT (-79.3526445 43.6828788)
80,32441273,43.682408,-79.3550258,4,,stop,35200738,2021S051235200738,0.0495,35,"Population, 2021",436.0,8808.08080808,POINT (-79.3550258 43.682408)
81,32441437,43.6804995,-79.3554324,3,,,35200738,2021S051235200738,0.0495,35,"Population, 2021",436.0,8808.08080808,POINT (-79.3554324 43.6804995)
82,32441247,43.6810178,-79.3577317,3,,,35200739,2021S051235200739,0.0621,35,"Population, 2021",568.0,9146.53784219,POINT (-79.3577317 43.6810178)
83,32441481,43.6782137,-79.3570764,4,,,35200739,2021S051235200739,0.0621,35,"Population, 2021",568.0,9146.53784219,POINT (-79.3570764 43.6782137)
84,32441262,43.6780336,-79.3534752,3,,stop,35200740,2021S051235200740,0.0807,35,"Population, 2021",499.0,6183.3952912,POINT (-79.3534752 43.6780336)
85,32441434,43.6786365,-79.3548269,3,,stop,35200740,2021S051235200740,0.0807,35,"Population, 2021",499.0,6183.3952912,POINT (-79.3548269 43.6786365)
86,32441456,43.6788138,-79.3536784,3,,stop,35200740,2021S051235200740,0.0807,35,"Population, 2021",499.0,6183.3952912,POINT (-79.3536784 43.6788138)
87,32441478,43.6797904,-79.3551642,3,,,35200740,2021S051235200740,0.0807,35,"Population, 2021",499.0,6183.3952912,POINT (-79.3551642 43.6797904)
88,20964463,43.6759331,-79.3603549,3,,,35200741,2021S051235200741,0.0816,35,"Population, 2021",640.0,7843.1372549,POINT (-79.3603549 43.6759331)
89,20964535,43.6760099,-79.3599308,3,,,35200741,2021S051235200741,0.0816,35,"Population, 2021",640.0,7843.1372549,POINT (-79.3599308 43.6760099)
90,20964567,43.6762168,-79.3588468,4,,traffic_signals,35200741,2021S051235200741,0.0816,35,"Population, 2021",640.0,7843.1372549,POINT (-79.3588468 43.6762168)
91,32441428,43.6769386,-79.3551119,3,,traffic_signals,35200741,2021S051235200741,0.0816,35,"Population, 2021",640.0,7843.1372549,POINT (-79.3551119 43.6769386)
92,32441431,43.6781736,-79.3555728,3,,stop,35200741,2021S051235200741,0.0816,35,"Population, 2021",640.0,7843.1372549,POINT (-79.3555728 43.6781736)
93,32441440,43.6783625,-79.3560094,3,,,35200741,2021S051235200741,0.0816,35,"Population, 2021",640.0,7843.1372549,POINT (-79.3560094 43.6783625)
94,32441487,43.6784111,-79.3584232,4,,traffic_signals,35200741,2021S051235200741,0.0816,35,"Population, 2021",640.0,7843.1372549,POINT (-79.3584232 43.6784111)
95,32441490,43.6775154,-79.3586612,3,,,35200741,2021S051235200741,0.0816,35,"Population, 2021",640.0,7843.1372549,POINT (-79.3586612 43.6775154)
96,32441498,43.6774122,-79.3567131,3,,,35200741,2021S051235200741,0.0816,35,"Population, 2021",640.0,7843.1372549,POINT (-79.3567131 43.6774122)
97,32441501,43.6766828,-79.3564147,3,,,35200741,2021S051235200741,0.0816,35,"Population, 2021",640.0,7843.1372549,POINT (-79.3564147 43.6766828)
98,32441511,43.6776731,-79.3553893,4,,stop,35200741,2021S051235200741,0.0816,35,"Population, 2021",640.0,7843.1372549,POINT (-79.3553893 43.6776731)
99,20953649,43.680973,-79.3738299,3,,,35200747,2021S051235200747,0.5005,35,"Population, 2021",526.0,1050.94905095,POINT (-79.3738299 43.680973)
100,20953675,43.6800851,-79.3706434,1,,,35200747,2021S051235200747,0.5005,35,"Population, 2021",526.0,1050.94905095,POINT (-79.3706434 43.6800851)
101,20954142,43.6829974,-79.369608,3,,,35200747,2021S051235200747,0.5005,35,"Population, 2021",526.0,1050.94905095,POINT (-79.369608 43.6829974)
102,20954143,43.683189,-79.3686074,1,,,35200747,2021S051235200747,0.5005,35,"Population, 2021",526.0,1050.94905095,POINT (-79.3686074 43.683189)
103,20954163,43.6842108,-79.3689229,3,,,35200747,2021S051235200747,0.5005,35,"Population, 2021",526.0,1050.94905095,POINT (-79.3689229 43.6842108)
104,20954348,43.6808782,-79.3682637,3,,,35200747,2021S051235200747,0.5005,35,"Population, 2021",526.0,1050.94905095,POINT (-79.3682637 43.6808782)
105,20954187,43.6856005,-79.3780898,3,,stop,35200748,2021S051235200748,0.111,35,"Population, 2021",549.0,4945.94594595,POINT (-79.3780898 43.6856005)
106,20954206,43.6870831,-79.3711146,3,,stop,35200748,2021S051235200748,0.111,35,"Population, 2021",549.0,4945.94594595,POINT (-79.3711146 43.6870831)
107,20954232,43.6864906,-79.3739204,3,,,35200748,2021S051235200748,0.111,35,"Population, 2021",549.0,4945.94594595,POINT (-79.3739204 43.6864906)
108,20954233,43.6867378,-79.3728058,3,,,35200748,2021S051235200748,0.111,35,"Population, 2021",549.0,4945.94594595,POINT (-79.3728058 43.6867378)
109,20954234,43.6870031,-79.3715135,3,,,35200748,2021S051235200748,0.111,35,"Population, 2021",549.0,4945.94594595,POINT (-79.3715135 43.6870031)
110,20954235,43.687335,-79.3742675,1,,,35200748,2021S051235200748,0.111,35,"Population, 2021",549.0,4945.94594595,POINT (-79.3742675 43.687335)
111,20954241,43.6880794,-79.3728002,1,,turning_circle,35200748,2021S051235200748,0.111,35,"Population, 2021",549.0,4945.94594595,POINT (-79.3728002 43.6880794)
112,20954310,43.688997,-79.3723062,1,,,35200748,2021S051235200748,0.111,35,"Population, 2021",549.0,4945.94594595,POINT (-79.3723062 43.688997)
113,20954311,43.6898139,-79.3715017,1,,,35200748,2021S051235200748,0.111,35,"Population, 2021",549.0,4945.94594595,POINT (-79.3715017 43.6898139)
114,20953656,43.6854292,-79.3727074,4,,,35200749,2021S051235200749,0.1115,35,"Population, 2021",455.0,4080.71748879,POINT (-79.3727074 43.6854292)
115,20953650,43.6822024,-79.3733811,4,,,35200750,2021S051235200750,0.1278,35,"Population, 2021",461.0,3607.19874804,POINT (-79.3733811 43.6822024)
116,20953651,43.6831809,-79.3730465,3,,,35200750,2021S051235200750,0.1278,35,"Population, 2021",461.0,3607.19874804,POINT (-79.3730465 43.6831809)
117,20953652,43.6834218,-79.3729312,3,,,35200750,2021S051235200750,0.1278,35,"Population, 2021",461.0,3607.19874804,POINT (-79.3729312 43.6834218)
118,20953653,43.6840687,-79.3726903,3,,,35200750,2021S051235200750,0.1278,35,"Population, 2021",461.0,3607.19874804,POINT (-79.3726903 43.6840687)
119,20954018,43.6819426,-79.3769566,3,,,35200750,2021S051235200750,0.1278,35,"Population, 2021",461.0,3607.19874804,POINT (-79.3769566 43.6819426)
120,20954021,43.6820567,-79.3770096,3,,,35200750,2021S051235200750,0.1278,35,"Population, 2021",461.0,3607.19874804,POINT (-79.3770096 43.6820567)
121,20954152,43.6836183,-79.3737573,4,,,35200750,2021S051235200750,0.1278,35,"Population, 2021",461.0,3607.19874804,POINT (-79.3737573 43.6836183)
122,20954186,43.6843023,-79.3775551,4,,,35200750,2021S051235200750,0.1278,35,"Population, 2021",461.0,3607.19874804,POINT (-79.3775551 43.6843023)
123,20953648,43.6801997,-79.3741511,3,,,35200751,2021S051235200751,0.2882,35,"Population, 2021",537.0,1863.28938237,POINT (-79.3741511 43.6801997)
124,20954026,43.6820371,-79.3771972,3,,,35200751,2021S051235200751,0.2882,35,"Population, 2021",537.0,1863.28938237,POINT (-79.3771972 43.6820371)
125,20954030,43.6818938,-79.377173,3,,,35200751,2021S051235200751,0.2882,35,"Population, 2021",537.0,1863.28938237,POINT (-79.377173 43.6818938)
126,20954100,43.6815068,-79.3775452,3,,,35200751,2021S051235200751,0.2882,35,"Population, 2021",537.0,1863.28938237,POINT (-79.3775452 43.6815068)
127,20954107,43.6816635,-79.3757027,3,,,35200751,2021S051235200751,0.2882,35,"Population, 2021",537.0,1863.28938237,POINT (-79.3757027 43.6816635)
128,20954109,43.6825195,-79.3814108,3,,,35200751,2021S051235200751,0.2882,35,"Population, 2021",537.0,1863.28938237,POINT (-79.3814108 43.6825195)
129,20954175,43.6833835,-79.3771758,3,,,35200751,2021S051235200751,0.2882,35,"Population, 2021",537.0,1863.28938237,POINT (-79.3771758 43.6833835)
130,20954191,43.6838422,-79.3796027,3,,stop,35200751,2021S051235200751,0.2882,35,"Population, 2021",537.0,1863.28938237,POINT (-79.3796027 43.6838422)
131,20954207,43.6841463,-79.3828871,4,,,35200751,2021S051235200751,0.2882,35,"Population, 2021",537.0,1863.28938237,POINT (-79.3828871 43.6841463)
132,20954218,43.6847104,-79.3799599,4,,stop,35200751,2021S051235200751,0.2882,35,"Population, 2021",537.0,1863.28938237,POINT (-79.3799599 43.6847104)
133,20953452,43.676025,-79.3751744,4,,stop,35200752,2021S051235200752,0.1401,35,"Population, 2021",364.0,2598.14418273,POINT (-79.3751744 43.676025)
134,20953475,43.6774431,-79.3772316,3,,,35200752,2021S051235200752,0.1401,35,"Population, 2021",364.0,2598.14418273,POINT (-79.3772316 43.6774431)
135,20953659,43.6776713,-79.3759807,3,,,35200752,2021S051235200752,0.1401,35,"Population, 2021",364.0,2598.14418273,POINT (-79.3759807 43.6776713)
136,20953810,43.6793527,-79.381119,3,,,35200752,2021S051235200752,0.1401,35,"Population, 2021",364.0,2598.14418273,POINT (-79.381119 43.6793527)
137,20953813,43.6804631,-79.3821174,3,,,35200752,2021S051235200752,0.1401,35,"Population, 2021",364.0,2598.14418273,POINT (-79.3821174 43.6804631)
138,20953828,43.6779824,-79.3784208,3,,,35200752,2021S051235200752,0.1401,35,"Population, 2021",364.0,2598.14418273,POINT (-79.3784208 43.6779824)
139,20953845,43.6789374,-79.3764881,1,,,35200752,2021S051235200752,0.1401,35,"Population, 2021",364.0,2598.14418273,POINT (-79.3764881 43.6789374)
140,20954092,43.6808072,-79.3821557,3,,,35200752,2021S051235200752,0.1401,35,"Population, 2021",364.0,2598.14418273,POINT (-79.3821557 43.6808072)
141,20954104,43.6807182,-79.3823812,4,,,35200752,2021S051235200752,0.1401,35,"Population, 2021",364.0,2598.14418273,POINT (-79.3823812 43.6807182)
142,20953473,43.6766113,-79.3784953,3,,stop,35200753,2021S051235200753,0.1923,35,"Population, 2021",589.0,3062.9225169,POINT (-79.3784953 43.6766113)
143,20953657,43.6773695,-79.3776748,3,,stop,35200753,2021S051235200753,0.1923,35,"Population, 2021",589.0,3062.9225169,POINT (-79.3776748 43.6773695)
144,20953795,43.6762549,-79.3806356,4,,,35200753,2021S051235200753,0.1923,35,"Population, 2021",589.0,3062.9225169,POINT (-79.3806356 43.6762549)
145,20953796,43.6774637,-79.3803439,1,,turning_circle,35200753,2021S051235200753,0.1923,35,"Population, 2021",589.0,3062.9225169,POINT (-79.3803439 43.6774637)
146,20953801,43.6764902,-79.3794895,3,,,35200753,2021S051235200753,0.1923,35,"Population, 2021",589.0,3062.9225169,POINT (-79.3794895 43.6764902)
147,20953807,43.6775871,-79.38054,3,,,35200753,2021S051235200753,0.1923,35,"Population, 2021",589.0,3062.9225169,POINT (-79.38054 43.6775871)
148,20953837,43.6785757,-79.3819282,3,,stop,35200753,2021S051235200753,0.1923,35,"Population, 2021",589.0,3062.9225169,POINT (-79.3819282 43.6785757)
149,25832087,43.6764534,-79.3816504,3,,stop,35200753,2021S051235200753,0.1923,35,"Population, 2021",589.0,3062.9225169,POINT (-79.3816504 43.6764534)
150,25832088,43.6765748,-79.3814854,3,,,35200753,2021S051235200753,0.1923,35,"Population, 2021",589.0,3062.9225169,POINT (-79.3814854 43.6765748)
151,25832756,43.677552,-79.3863827,4,,stop,35200753,2021S051235200753,0.1923,35,"Population, 2021",589.0,3062.9225169,POINT (-79.3863827 43.677552)
152,25832762,43.6766129,-79.385879,3,,stop,35200753,2021S051235200753,0.1923,35,"Population, 2021",589.0,3062.9225169,POINT (-79.385879 43.6766129)
153,25832784,43.6758499,-79.384182,3,,,35200753,2021S051235200753,0.1923,35,"Population, 2021",589.0,3062.9225169,POINT (-79.384182 43.6758499)
154,25832790,43.6777834,-79.3848569,3,,,35200753,2021S051235200753,0.1923,35,"Population, 2021",589.0,3062.9225169,POINT (-79.3848569 43.6777834)
155,27459055,43.6784462,-79.3826798,3,,stop,35200753,2021S051235200753,0.1923,35,"Population, 2021",589.0,3062.9225169,POINT (-79.3826798 43.6784462)
156,20953448,43.675049,-79.3778454,5,,stop,35200754,2021S051235200754,0.1907,35,"Population, 2021",626.0,3282.6428946,POINT (-79.3778454 43.675049)
157,20953450,43.6757131,-79.3762481,3,,,35200754,2021S051235200754,0.1907,35,"Population, 2021",626.0,3282.6428946,POINT (-79.3762481 43.6757131)
158,20953468,43.6749099,-79.3756089,3,,,35200754,2021S051235200754,0.1907,35,"Population, 2021",626.0,3282.6428946,POINT (-79.3756089 43.6749099)
159,20953485,43.674007,-79.3783722,1,,,35200754,2021S051235200754,0.1907,35,"Population, 2021",626.0,3282.6428946,POINT (-79.3783722 43.674007)
160,20953678,43.6745724,-79.3801694,3,,traffic_signals,35200754,2021S051235200754,0.1907,35,"Population, 2021",626.0,3282.6428946,POINT (-79.3801694 43.6745724)
161,20964448,43.6735257,-79.3840193,4,,traffic_signals,35200754,2021S051235200754,0.1907,35,"Population, 2021",626.0,3282.6428946,POINT (-79.3840193 43.6735257)
162,25832084,43.6741526,-79.3835183,3,,,35200754,2021S051235200754,0.1907,35,"Population, 2021",626.0,3282.6428946,POINT (-79.3835183 43.6741526)
163,25832085,43.6759889,-79.3821138,3,,,35200754,2021S051235200754,0.1907,35,"Population, 2021",626.0,3282.6428946,POINT (-79.3821138 43.6759889)
164,25832092,43.6758422,-79.3806003,3,,,35200754,2021S051235200754,0.1907,35,"Population, 2021",626.0,3282.6428946,POINT (-79.3806003 43.6758422)
165,20953775,43.6723507,-79.3768529,4,,traffic_signals,35200756,2021S051235200756,0.0211,35,"Population, 2021",832.0,39431.2796209,POINT (-79.3768529 43.6723507)
166,25628935,43.6699701,-79.3798657,5,,traffic_signals,35200757,2021S051235200757,0.0762,35,"Population, 2021",1498.0,19658.7926509,POINT (-79.3798657 43.6699701)
167,25813506,43.67093,-79.378839,3,,,35200757,2021S051235200757,0.0762,35,"Population, 2021",1498.0,19658.7926509,POINT (-79.378839 43.67093)
168,25813508,43.670255,-79.3785617,3,,,35200757,2021S051235200757,0.0762,35,"Population, 2021",1498.0,19658.7926509,POINT (-79.3785617 43.670255)
169,25813510,43.6691456,-79.3780962,4,,stop,35200757,2021S051235200757,0.0762,35,"Population, 2021",1498.0,19658.7926509,POINT (-79.3780962 43.6691456)
170,25832868,43.6718845,-79.3791038,4,,traffic_signals,35200757,2021S051235200757,0.0762,35,"Population, 2021",1498.0,19658.7926509,POINT (-79.3791038 43.6718845)
171,25813496,43.6670781,-79.3746698,4,,traffic_signals,35200769,2021S051235200769,0.0238,35,"Population, 2021",437.0,18361.3445378,POINT (-79.3746698 43.6670781)
172,32756002,43.6632012,-79.3730517,4,,traffic_signals,35200770,2021S051235200770,0.0346,35,"Population, 2021",454.0,13121.3872832,POINT (-79.3730517 43.6632012)
