latitude,longitude,store_number,phone,address,city,Province,postal_code
43.656318,-79.43493,Walmart Supercentre; #3106; (NOP),(416) 537-2561,900 Dufferin St,Toronto,ON,M6H 4A9
44.094232,-77.603681,Walmart Supercentre; #3178,(613) 394 2191,470 2nd Dughill Rd,Trenton,ON,K8V 5P7
44.08781,-79.133445,Walmart; #3653,(905) 862-0721,6 Welwood Rd,Uxbridge,ON,L9P 1Y4
43.795658,-79.530293,Walmart Supercentre; #3145; (NOP),(905) 761-7945,101 Edgeley Blvd,Vaughan,ON,L4K 4Z4
43.84549,-79.555122,Walmart Supercentre; #1095,(905) 832-4060,3600 Major Mackenzie Dr,Vaughan,ON,L6A 1S1
42.586153,-82.38495,Walmart Supercentre; #1064,(519)627-8840,60 McNaughton Ave Unit 16,Wallaceburg,ON,N8A 1R9
44.52492,-80.0065,Walmart Supercentre; #1087,(705 )442-7100,100 Stonebridge Blvd,Wasaga Beach,ON,L9Z 0C1
43.316192,-79.909572,Walmart Supercentre; #1107,(905) 690-7090,90 Dundas St. E,Waterdown,ON,L0R 2H2
43.509028,-80.548502,Walmart Supercentre; #3156,(519) 746 6700,335 Farmers Market Rd,Waterloo,ON,N2V 0A4
43.46962,-80.515148,Walmart Supercentre; #1156,(519) 746-1378,70 Bridgeport Rd E,Waterloo,ON,N2J 2J9
43.01483,-79.22937,Walmart Supercentre; #3110,(905) 735-3500,102 Primeway Dr,Welland,ON,L3B 0A1
43.91737,-78.95973,Walmart Supercentre; #3113,(905) 655-0206,4100 Baldwin St S,Whitby,ON,L1R 3H8
42.270682,-83.010996,Walmart Supercentre; #3114,(519) 969-8121,3120 Dougall Ave,Windsor,ON,N9E 1S7
42.314048,-82.942432,Walmart Supercentre; #3115,(519) 945-3065,7100 Tecumseh Rd E,Windsor,ON,N8T 1E6
43.786103,-79.628413,Walmart Supercentre; #1081,(905) 851-4648,8300 Hwy 27,Woodbridge,ON,L4H 0R9
43.11515,-80.734587,Walmart Supercentre; #3120,(519) 539-5120,499 Norwich Ave,Woodstock,ON,N4S 9A2
