,Unnamed: 0,i,j,dist,route
20,20,0,10,2308.448,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 7174134448, 221299515, 221299503, 221299455, 221299181, 221332078, 6944732727, 6944732755, 2218014972, 2218015174, 221332021, 221333117, 221328687, 2217993816]"
22,22,0,11,2347.812,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 7174134448, 221299515, 221299503, 221299455, 221299181, 221332078, 6944732727, 6944732755, 2218014972, 2218015174, 221332021, 221333117, 221328687, 221314437]"
24,24,0,12,2114.69,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484, 6456379560, 8417400956, 221299609, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 8023854732, 221318186, 221318190, 8751578241, 6556362348, 6410049278, 221325215]"
26,26,0,13,2014.57,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484, 6456379560, 8417400956, 221299609, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 7786284549, 221308669, 221308755, 8397696452, 8772486758, 8397696446, 8772486760, 8427345299, 8397696453, 221329428, 6789356538, 6789356541, 221323785]"
28,28,0,14,1305.548,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 5051267777, 5051267778, 5051267779, 5051267780, 8035381156, 5051267773, 7241109967, 221318138, 221323303]"
30,30,0,15,1217.158,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 5051267777, 5051267778, 5051267779, 5051267780, 8035381156, 5051267773, 7241109967, 221318138]"
32,32,0,16,1727.083,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313669, 221313692, 221301713]"
34,34,0,17,2051.752,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313669, 221313692, 221301713, 221313774, 221328462, 221311461, 2207894131, 5410931210]"
36,36,0,18,2136.608,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609]"
38,38,0,19,2042.659,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082]"
40,40,0,20,2244.901,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313669, 221313692, 221301713, 221313774, 221328462, 221311461, 2207894131, 5410931210, 5410931538, 221318241, 221319439, 2212132842, 5410768904]"
42,42,0,21,711.636,"[6810168787, 6810168786, 4704609189, 4704609165, 2210576327, 2210576548, 221302173, 2210576380, 221306806, 221325879, 221325877, 221325874, 4704589874, 8205079452, 4705949985]"
44,44,0,22,1476.744,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 5051267777, 221321314, 221326466, 221319853, 221300558, 221326414]"
46,46,0,23,745.965,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221298883, 221298876, 221298874, 221298871, 221298868, 221298862, 8433686888]"
48,48,0,24,533.498,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221298883, 221298876, 221298874, 221298871, 221298868]"
50,50,0,25,908.188,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221298883, 221298876, 221298874, 221298871, 221298868, 221321123, 221327144, 221319024, 7805312040]"
52,52,0,26,1044.528,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221302252, 221302248, 221302240, 221302227, 8776392438, 221319014, 221327512]"
54,54,0,27,905.86,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221302252, 221302248, 221302240, 221302227, 8776392438, 221319014]"
56,56,0,28,734.749,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148]"
58,58,0,29,2002.65,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484, 6456379560, 8417400956, 221299609, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 8023854732, 221318186, 6556362378, 6556362366, 221323814]"
60,60,0,30,1964.151,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 7174134448, 221299515, 221299503, 221299455, 221299181, 221332078, 6944732727, 6944732755, 2218014972, 2218015174, 221332021]"
62,62,0,31,1834.367,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 7174134448, 221299515, 221299503, 221299455, 221299181, 221332078, 6944732727, 6944732755, 2218014972]"
64,64,0,32,1900.807,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 7174134448, 221299515, 221299503, 221299455, 221299441, 221299172, 4681052642, 221301238, 221301244, 5051267737]"
66,66,0,33,2332.276,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136]"
68,68,0,34,2484.84,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609, 2217994046, 2217993846, 2217994136, 2218015170]"
70,70,0,35,2205.246,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 7174134448, 221299515, 221299503, 221299455, 221299181, 221332078, 6944732727, 6944732755, 2218014972, 2218015174, 221332021, 221318810]"
72,72,0,36,1824.595,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484, 6456379560, 8417400956, 221299609, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 8023854732, 221318186, 6556362378, 6556362317, 6556362346, 6556362344, 6556362368]"
74,74,0,37,649.257,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221298892, 221298898, 221298902, 221298906, 5051267976, 221323887]"
76,76,0,38,713.809,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221302033, 5051267775, 5051267774]"
78,78,0,39,591.554,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 5051267777]"
80,80,0,40,703.305,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 5051267777, 5051267778]"
82,82,0,41,844.741,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 5051267777, 5051267778, 5051267779, 5051267780]"
84,84,0,42,725.384,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484]"
86,86,0,43,743.666,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221314392, 7675630708]"
88,88,0,44,682.961,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221298883, 221298876, 221298874, 221298871, 221298868, 221321123, 221327144]"
90,90,0,45,969.983,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221298883, 221298876, 221298874, 221298871, 221298868, 221321123, 221327144, 221319024, 7805312040, 221327495]"
92,92,0,46,1044.528,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221302252, 221302248, 221302240, 221302227, 8776392438, 221319014, 221327512]"
94,94,0,47,299.664,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429]"
96,96,0,48,1678.167,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484, 6456379560, 8417400956, 221299609, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 8023854732, 221318186]"
98,98,0,49,1191.796,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 5051267777, 221321314, 221326466, 221319853]"
100,100,0,50,985.795,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 5051267777, 221321314]"
102,102,0,51,1101.648,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221302033, 5051267775, 221301937, 221301922, 221332643, 221298444, 221302672, 221326495]"
104,104,0,52,2445.452,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 7174134448, 221299515, 221299503, 221299455, 221299181, 221332078, 6944732727, 6944732755, 2218014972, 2218015174, 221332021, 221318810, 2217993888, 2217993909, 221322754, 2218015046, 221298303]"
106,106,0,53,1652.139,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484, 6456379560, 8417400956, 221299609, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 7786284549, 221308669, 6864966868]"
108,108,0,54,1999.261,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484, 6456379560, 8417400956, 221299609, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 8023854732, 221318186, 221318190, 3703724242, 8751578236, 8875025733]"
110,110,0,55,2136.608,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 221314431, 8208921163, 8208921165, 221336110, 8208921157, 8759382929, 8759382923, 221311796, 10035830921, 221312937, 221313023, 221313030, 221317082, 221313876, 221326609]"
112,112,0,56,2552.109,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484, 6456379560, 8417400956, 221299609, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 8023854732, 221318186, 221318190, 8751578241, 6556362348, 6410049278, 221325215, 7307709764, 2062512811, 7786446708, 7786446707, 7786446715, 7786446736, 7786446730, 7786446733]"
114,114,0,57,2043.225,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484, 6456379560, 8417400956, 221299609, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 8023854732, 221318186, 221318190, 8751578241, 6556362348, 6410049278]"
116,116,0,58,2062.255,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484, 6456379560, 8417400956, 221299609, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 8023854732, 221318186, 6556362378, 6556362366, 221323814, 221331046]"
118,118,0,59,1390.81,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221298887, 221302255, 221321337, 221332605, 221321294, 221332372, 221334557, 221321148, 221305698, 221319809, 8035381157, 8776392434, 221318999, 221327519, 7241109959, 7241109981, 7174134460, 8049391359, 221299536, 221299237, 6411450873, 221299256]"
120,120,0,60,2563.624,"[6810168787, 6810168786, 4704609189, 4704609165, 2210576327, 2210576548, 221302173, 221302169, 221302156, 221318967, 4704589823, 221326945, 221326948, 8210325584, 221326951, 8210325556, 8210325543, 5051268296, 4680804271, 5051268297, 4680804268, 7523861086, 4680804265, 5051268484, 4664257622, 4654717432, 6720228423, 6720228424, 2210591345, 221309364, 6562028064, 6562028074, 5051267803, 221304885, 221325858, 221308301, 221321192, 221308118, 221317639, 221328385, 221313590, 221330631, 221335139, 221313549, 221327923, 221313660, 221319928, 2239635533, 2239635593, 2239635603, 2239635623]"
122,122,0,61,1391.809,"[6810168787, 6810168786, 4704609189, 4704639848, 4704639849, 2210576159, 4704639847, 4704639842, 5051267979, 4704634267, 5051267977, 4704634268, 4704634264, 5051267973, 4704634253, 4704634252, 5051267968, 4665881999, 4665881996, 4665882010, 3554561964, 4665882020, 4665882012, 6721218341, 6721218382, 6721218376, 3554561970, 221298950, 3554561971, 221318882, 221317948, 6597367274, 221311300, 6597367273, 221311280, 6597367212, 221322468, 221315831, 221308215]"
124,124,0,62,2155.451,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484, 6456379560, 8417400956, 221299609, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 7786284549, 221308669, 221308755, 8397696452, 8772486758, 8397696446, 8772486760, 8427345299, 8397696453, 221329428, 6789356538, 6789356541, 221323785, 6789356558, 2212132829, 8218358733]"
126,126,0,63,1955.753,"[6810168787, 6810168786, 4704609189, 4704609165, 2210576327, 2210576548, 221302173, 2210576380, 221306806, 221325879, 221325877, 221325874, 4704589874, 8205079452, 4705949985, 221335730, 4705949988, 8002379801, 6663270794, 6663270795, 4705950102, 4705950104, 4705950101, 5051268277, 221323849, 221334088, 221330582, 2212133053, 8427335169, 8427335162, 221333785, 2223536582, 221312172, 221330898, 221330775, 2210654477, 7263611320, 8011979690, 8011979686, 8011968984, 8396107023, 8011968961, 6965100459]"
1,1,1,0,2453.035,"[6810168787, 6810168786, 4704609189, 2210576555, 221310208, 221319243, 221320429, 221306107, 8772437073, 221320404, 221320402, 221320398, 8397495484, 6456379560, 8417400956, 221299609, 221299304, 221320383, 221320370, 7936202715, 221306241, 221320327, 8194025444, 221320312, 8751578293, 6563819843, 6620888592, 6563819804, 221310512, 221305446, 8425191221, 8425154410, 221318179, 8023854732, 221318186, 221318190, 8751578241, 6556362348, 6410049278, 221325215, 221308476, 2217684856, 221325183]"
127,127,1,1,0,[221325183]
129,129,1,2,154.125,"[221325183, 221302437, 221305061]"
134,134,1,3,1345.497,"[221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 6411409229, 6411409259, 221319466, 221319475]"
136,136,1,4,1689.686,"[221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 6411409229, 6411409259, 221319466, 221319475, 221317099, 221319476, 221320236]"
138,138,1,5,1913.222,"[221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 6411409229, 6411409259, 221319466, 221319475, 221317099, 221319476, 221320236, 221298303, 221298310]"
140,140,1,6,2090.124,"[221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 6411409229, 6411409259, 221319466, 221319475, 221317099, 221319476, 221320236, 221298303, 221298310, 221298329, 221298350]"
142,142,1,7,2118.75,"[221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136, 2218015170, 2218015164, 2217993909, 221322754, 221320708, 221306028, 2217994122]"
144,144,1,8,1800.351,"[221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136, 2218015170, 2218015164, 2217993909, 221322754, 2218015046]"
146,146,1,9,1938.243,"[221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136, 2218015170, 2218015164, 2217993909, 2217993888, 2217993943]"
148,148,1,10,2227.849,"[221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136, 2218015170, 2218015164, 2217993909, 2217993888, 2217993943, 2217993816]"
150,150,1,11,2395.835,"[221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 221318211, 221311605, 221308426, 5410931522, 221318241, 221319439, 2212132842, 5410768904, 221319446, 221326615, 2217994046, 2217993846, 2217994136, 2218015170, 2218015164, 2217993909, 2217993888, 2217993943, 2217993816, 221328687, 221314437]"
152,152,1,12,338.345,"[221325183, 2217684856, 221308476, 221325215]"
154,154,1,13,569.176,"[221325183, 2217684856, 221308476, 9870322828, 9870322840, 221305903, 8427345315, 221323785]"
156,156,1,14,2021.648,"[221325183, 2217684856, 7786446699, 2062512815, 7786446737, 2062512811, 2062512809, 8206742589, 8206742586, 221318208, 8875025722, 221301617, 221301620, 221301686, 221313669, 221312937, 10035830921, 221311796, 8759382923, 8759382929, 8208921157, 221336110, 8208921165, 8208921163, 221314431, 221299237, 221299536, 8049391359, 7174134460, 7174134459, 7241109982, 7241109964, 5051267773, 7241109967, 221318138, 221323303]"
