Age characteristics,  0 to 14 years,75,70,60,60,70,55,25,50,65,95,110,60,85,70,125,100,55,115,130,40,80,50,55,120,30,55,180,55,60,80,140,185,110,110,205,375
Age characteristics,    0 to 4 years,30,20,25,25,30,15,10,25,20,30,25,15,25,25,35,20,20,35,30,15,35,10,15,60,15,25,90,25,10,25,45,55,45,35,70,95
Age characteristics,    5 to 9 years,25,20,15,20,25,20,10,20,30,25,40,20,25,25,45,40,15,35,50,10,30,15,25,35,10,20,50,20,25,20,45,65,40,40,75,135
Age characteristics,    10 to 14 years,20,30,25,20,15,20,5,5,20,35,45,30,30,25,40,30,20,45,55,10,20,20,10,25,5,15,50,15,20,35,45,55,25,35,60,145
Age characteristics,  15 to 64 years,375,380,435,305,375,290,330,290,375,1205,380,420,405,310,580,475,380,490,520,345,480,275,320,1125,360,440,940,405,310,295,545,670,455,390,650,1525
Age characteristics,    15 to 19 years,20,30,10,20,20,30,5,10,5,50,35,15,20,30,55,55,35,65,40,10,10,25,15,20,15,10,35,20,15,20,40,65,35,25,50,150
Age characteristics,    20 to 24 years,35,15,45,20,25,30,30,30,20,150,35,40,40,35,65,55,30,55,45,45,65,15,35,125,40,25,70,35,25,15,45,60,45,30,55,180
Age characteristics,    25 to 29 years,40,35,100,35,65,15,70,55,75,285,50,75,90,20,55,50,30,55,60,55,70,50,45,270,50,40,210,95,35,20,90,85,50,55,125,225
Age characteristics,    30 to 34 years,40,50,80,45,35,20,55,50,65,205,45,80,85,25,40,30,30,45,50,55,95,35,45,215,50,70,190,65,30,45,90,80,60,80,115,195
Age characteristics,    35 to 39 years,45,35,60,40,55,25,35,40,50,105,45,45,40,35,65,40,35,35,50,40,70,35,45,155,35,45,140,55,35,35,60,90,50,40,95,170
Age characteristics,    40 to 44 years,30,50,30,35,35,15,35,30,35,75,50,45,35,25,45,35,35,40,40,25,35,15,25,70,30,50,65,35,30,35,45,55,30,30,65,140
Age characteristics,    45 to 49 years,35,30,25,35,20,30,15,20,30,75,40,25,25,25,55,40,35,50,70,30,35,35,30,70,30,30,60,20,15,35,35,45,50,35,50,150
Age characteristics,    50 to 54 years,50,35,30,25,35,45,20,25,25,75,45,30,25,30,60,65,50,55,50,30,30,35,30,75,35,55,50,20,35,15,50,80,45,45,30,120
Age characteristics,    55 to 59 years,60,55,30,35,30,45,25,10,25,85,25,35,30,55,65,65,50,45,60,30,30,20,35,65,45,55,50,25,45,30,50,75,50,30,30,95
Age characteristics,    60 to 64 years,45,35,25,20,50,30,35,20,40,120,20,25,25,45,70,40,55,40,60,35,35,15,20,55,35,60,60,30,40,40,50,40,35,20,35,95
Age characteristics,  65 years and over,100,70,90,55,100,80,180,50,115,545,50,60,40,130,100,35,80,65,245,90,180,35,45,180,100,465,130,45,45,80,135,160,145,60,145,145
Age characteristics,    65 to 69 years,35,25,20,20,40,35,30,30,35,100,15,20,25,35,40,15,30,25,90,30,45,20,20,70,35,65,45,15,20,40,30,30,60,20,35,70
Age characteristics,    70 to 74 years,25,15,30,10,20,25,50,10,20,130,10,15,10,45,25,10,30,15,80,20,40,5,15,50,25,100,30,15,10,25,45,45,35,20,40,40
Age characteristics,    75 to 79 years,15,15,25,5,15,10,50,5,20,110,10,20,5,30,15,10,10,10,40,20,30,5,5,20,20,100,25,10,5,15,35,30,25,10,35,30
Age characteristics,    80 to 84 years,10,10,10,5,10,0,35,0,20,95,10,5,5,10,5,5,10,5,25,10,25,0,5,10,10,95,15,5,0,5,15,25,15,10,20,5
Age characteristics,    85 years and over,10,5,5,5,10,0,20,5,10,115,5,0,0,10,10,0,5,5,15,5,40,5,0,25,15,110,15,0,10,0,10,20,15,0,15,10
Age characteristics,      85 to 89 years,10,0,5,5,5,0,15,0,10,70,0,0,0,10,5,0,0,0,15,5,20,0,0,15,10,70,10,0,5,0,5,15,10,0,15,5
Age characteristics,      90 to 94 years,5,0,0,5,5,0,0,0,5,40,0,5,0,0,5,0,5,0,0,0,20,0,0,5,5,30,0,0,0,0,5,5,5,0,5,0
Age characteristics,      95 to 99 years,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,0
Age characteristics,      100 years and over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age characteristics,Total - Distribution (%) of the population by broad age groups - 100% data,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Age characteristics,  0 to 14 years,13.5,13.6,10.2,14.1,13,13.1,4.7,12.8,11.8,5.1,20.4,11.1,15.9,13.6,15.6,16.5,10.7,17,14.4,8.4,10.8,13.9,13.1,8.5,6.1,5.7,14.4,10.9,14.6,17.8,17.1,18.3,15.4,19.5,20.5,18.3
Age characteristics,  15 to 64 years,67.6,73.8,73.7,71.8,69.4,69,61.7,74.4,68.2,65.1,70.4,77.8,75.7,60.2,72.5,78.5,73.8,72.6,57.8,72.6,64.9,76.4,76.2,79.2,72.7,45.6,75.2,80.2,75.6,65.6,66.5,66.3,63.6,69,65,74.4
Age characteristics,  65 years and over,18,13.6,15.3,12.9,18.5,19,33.6,12.8,20.9,29.5,9.3,11.1,7.5,25.2,12.5,5.8,15.5,9.6,27.2,18.9,24.3,9.7,10.7,12.7,20.2,48.2,10.4,8.9,11,17.8,16.5,15.8,20.3,10.6,14.5,7.1
Age characteristics,    85 years and over,1.8,1,0.8,1.2,1.9,0,3.7,1.3,1.8,6.2,0.9,0,0,1.9,1.3,0,1,0.7,1.7,1.1,5.4,1.4,0,1.8,3,11.4,1.2,0,2.4,0,1.2,2,2.1,0,1.5,0.5
Age characteristics,Average age of the population,43.6,41.1,39.6,39.7,42.4,43.5,50.4,37.5,42.9,47.8,35.9,39,34.9,45.7,39.8,36.9,43.5,37.3,45.4,43.3,44.1,37.4,38.5,38.4,45.8,58.4,36.2,36.7,40.4,41.1,39.5,39.1,41.9,36,35.7,34.3
Age characteristics,Median age of the population,46,40.8,34.8,37.6,40.4,48.4,47.6,34.8,38.8,42.8,35.2,35.2,32.4,50.8,39.6,37.2,46,36,47.6,39.6,38,36,36.8,33.6,45.2,64,32.8,32.8,40,42,36,36.4,40.8,33.2,32.4,32
Income of households in 2020,Total - Income statistics for private households - 100% data,235,220,295,205,225,185,350,225,320,1090,215,290,225,205,295,215,210,205,390,285,375,170,205,805,325,590,585,275,170,165,330,405,340,255,435,675
Income of households in 2020,  Median total income of household in 2020 ($),95000,91000,62000,81000,102000,122000,58800,61200,66000,82000,106000,77000,84000,192000,117000,108000,108000,121000,104000,41600,64000,82000,67000,64500,30800,57600,85000,59200,81000,104000,90000,97000,54000,74500,71000,104000
Income of households in 2020,  Median after-tax income of household in 2020 ($),82000,78000,56000,70500,87000,103000,52000,54000,59600,69500,90000,67500,73500,149000,99000,93000,93000,103000,89000,37600,57200,73000,58800,56400,29400,52800,74500,52800,72000,91000,77500,84000,48800,67000,64500,90000
Income of households in 2020,    Total - Income statistics for one-person private households - 100% data,65,70,110,80,60,50,210,125,170,560,60,130,55,35,50,20,35,20,115,180,150,55,80,450,220,310,210,140,50,30,70,100,135,90,140,130
Income of households in 2020,      Median total income of one-person households in 2020 ($),39600,52800,44800,46000,48800,54800,47600,49600,48000,62400,58400,50400,39600,117000,63600,71500,56000,54000,44000,27000,38800,42000,40000,46400,22600,41200,57200,45600,44000,48800,63600,48400,31200,46400,53200,64500
Income of households in 2020,      Median after-tax income of one-person households in 2020 ($),36400,44800,39600,40000,42800,46400,42000,42400,43200,54400,50400,44400,34800,86000,54000,57600,46400,46400,39200,26600,36400,37600,36400,40800,22600,36800,48800,40000,38800,41600,56800,42000,29800,40800,46000,54000
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 100% data,175,150,180,130,170,130,140,95,155,530,155,160,170,170,240,190,175,190,275,105,225,110,125,355,105,275,375,140,120,140,260,305,205,165,290,545
Income of households in 2020,      Median total income of two-or-more-person households in 2020 ($),118000,108000,76500,102000,126000,155000,85000,109000,94000,114000,142000,108000,101000,206000,136000,119000,117000,126000,140000,85000,83000,121000,92000,86000,67000,86000,106000,95000,91000,120000,102000,114000,73000,87000,82000,115000
Income of households in 2020,      Median after-tax income of two-or-more-person households in 2020 ($),102000,94000,69500,91000,105000,131000,77000,96000,82000,97000,119000,95000,90000,159000,116000,105000,101000,108000,122000,76500,75000,105000,79000,77500,60400,76500,91000,84000,83000,98000,89000,99000,68500,78500,74000,100000
Income of households in 2020,Total - Income statistics for private households - 25% sample data,250,215,295,205,230,180,355,220,320,1105,235,285,225,205,295,215,205,210,395,290,370,155,185,845,290,580,565,240,175,160,340,410,355,250,450,710
Income of households in 2020,  Average total income of household in 2020 ($),100000,107000,74000,95000,111000,148000,72400,80000,91000,107800,142000,105000,101000,224000,135000,124000,121000,110000,131000,60800,74000,144000,99000,64200,40400,66800,94400,73000,90000,97000,129000,141500,80400,86000,88400,117000
Income of households in 2020,  Average after-tax income of household in 2020 ($),86000,91000,65000,82000,93000,121000,61600,66500,74000,83800,105000,82000,87000,162000,112000,102000,101000,96000,106000,52400,64800,114000,82000,55700,37200,58600,78800,62800,78000,84000,104400,103600,68000,74000,75200,100000
Income of households in 2020,    Total - Income statistics for one-person private households - 25% sample data,60,60,105,90,65,50,230,125,185,585,75,160,50,35,60,30,25,20,115,180,145,30,75,485,195,325,210,125,45,30,80,90,130,65,155,155
Income of households in 2020,      Average total income of one-person households in 2020 ($),38000,66000,44000,60000,62000,140000,50800,42000,59600,75200,76000,102000,42000,120000,78000,110000,56000,50000,51000,31800,48000,44000,56000,51200,27400,45400,73000,51000,64000,72000,62000,76000,42000,58000,73000,65000
Income of households in 2020,      Average after-tax income of one-person households in 2020 ($),34000,56000,39000,51000,52000,112000,43600,36500,49600,60200,64000,72500,37000,95000,66000,85000,48000,45000,43000,29000,42000,40000,48000,43200,25200,40000,58400,45000,52000,60000,52000,60000,38000,50000,61000,54000
Income of households in 2020,    Total - Income statistics for two-or-more-persons private households - 25% sample data,195,160,195,115,165,125,125,100,130,520,165,130,180,170,230,180,180,190,275,105,230,130,110,355,95,255,355,110,130,135,265,320,220,180,290,555
Income of households in 2020,      Average total income of two-or-more-person households in 2020 ($),118000,122000,90000,124000,129000,152000,112000,128000,136000,144500,170000,110000,118000,244000,150000,127000,130000,117000,166000,110000,90000,164000,128000,82000,68000,94000,106800,96000,98000,102000,148000,160000,103000,96000,96000,131500
Income of households in 2020,      Average after-tax income of two-or-more-person households in 2020 ($),101000,104000,78500,108000,108000,124000,94000,102000,108000,110000,123000,92000,101000,176000,124000,106000,108000,102000,133000,92000,79000,130000,104000,72800,62000,82000,90800,84000,86000,90000,120000,116000,86000,83000,83000,112800
Income of households in 2020,Total - Household total income groups in 2020 for private households - 100% data,235,220,295,210,230,185,350,225,320,1090,215,290,225,205,295,215,210,205,390,285,375,170,200,805,325,590,580,275,170,165,330,405,345,255,435,675
Income of households in 2020,"  Under $5,000",0,0,5,5,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,5,5,5,0,25,5,10,5,0,0,0,0,10,0,5,0,15
Income of households in 2020,"  $5,000 to $9,999",0,0,0,0,0,0,5,5,5,20,0,0,0,0,0,0,0,0,0,5,0,0,0,10,10,0,0,0,0,0,0,0,0,5,0,0
Income of households in 2020,"  $10,000 to $14,999",0,0,0,0,0,0,10,0,5,15,0,0,0,0,0,0,0,0,0,10,5,0,10,15,35,0,5,5,0,0,0,0,5,0,0,5
Income of households in 2020,"  $15,000 to $19,999",5,0,5,5,0,0,10,10,5,10,0,5,5,0,0,0,0,0,10,20,10,0,5,35,35,10,10,5,0,0,0,5,5,5,5,0
Income of households in 2020,"  $20,000 to $24,999",10,0,15,5,5,0,5,10,20,45,0,10,10,0,5,0,0,0,20,50,10,0,10,30,55,30,10,10,5,0,5,10,40,10,15,10
Income of households in 2020,"  $25,000 to $29,999",10,5,10,0,5,5,25,10,15,45,0,10,10,0,0,0,5,0,15,10,25,5,10,45,25,45,20,10,5,5,0,10,20,10,15,5
Income of households in 2020,"  $30,000 to $34,999",10,5,10,5,5,0,20,15,15,40,5,5,5,0,5,5,0,0,15,20,20,10,10,45,25,30,20,15,10,0,5,15,15,5,10,10
Income of households in 2020,"  $35,000 to $39,999",10,0,20,10,0,5,30,10,10,40,0,15,15,0,10,0,0,0,5,20,25,0,15,35,20,40,20,20,5,0,15,10,25,10,15,20
Income of households in 2020,"  $40,000 to $44,999",5,10,20,10,5,5,20,10,20,40,0,15,5,5,5,10,10,5,15,20,25,5,15,35,10,35,20,20,0,0,15,10,20,10,15,15
Income of households in 2020,"  $45,000 to $49,999",10,5,15,10,10,5,20,5,10,45,10,10,10,0,5,0,5,5,10,10,20,0,10,25,15,35,20,20,5,5,5,20,20,20,30,15
Income of households in 2020,"  $50,000 to $59,999",20,15,40,20,15,15,40,35,30,50,20,25,20,5,15,15,15,5,20,20,35,15,20,70,20,65,55,40,15,10,30,25,40,15,50,35
Income of households in 2020,"  $60,000 to $69,999",15,20,35,10,20,10,40,20,30,80,10,30,15,0,20,10,10,10,25,20,35,10,10,70,25,55,45,25,15,10,35,25,15,20,45,55
Income of households in 2020,"  $70,000 to $79,999",15,15,20,10,10,15,25,10,25,95,20,20,10,0,15,10,10,15,25,10,30,10,10,60,15,40,40,15,20,10,25,15,15,20,35,60
Income of households in 2020,"  $80,000 to $89,999",10,20,15,15,10,10,20,10,25,65,15,10,15,0,20,15,10,10,25,10,25,10,10,65,15,30,40,10,15,15,20,25,10,20,35,40
Income of households in 2020,"  $90,000 to $99,999",15,20,15,15,10,0,15,15,20,55,15,20,20,5,15,15,15,15,15,5,20,10,15,45,10,35,50,15,10,10,25,15,20,15,20,45
Income of households in 2020,"  $100,000 and over",110,95,60,75,115,110,75,65,85,435,110,100,90,170,175,125,125,130,205,45,85,70,60,190,20,120,225,80,65,90,140,200,80,80,130,355
Income of households in 2020,"    $100,000 to $124,999",30,30,30,25,25,20,30,25,35,120,15,35,30,25,40,35,45,30,35,10,35,15,15,85,10,50,85,35,20,30,55,50,30,30,55,110
Income of households in 2020,"    $125,000 to $149,999",30,25,10,15,35,15,15,10,15,75,15,20,30,15,30,35,30,35,30,10,25,5,15,45,0,40,50,15,15,25,20,30,5,20,30,75
Income of households in 2020,"    $150,000 to $199,999",30,20,15,20,30,20,10,5,15,105,35,25,20,35,60,40,35,40,55,5,15,20,15,35,5,20,55,15,15,25,40,35,20,20,20,100
Income of households in 2020,"    $200,000 and over",20,10,5,15,25,50,15,20,20,130,45,20,10,100,45,25,15,25,80,15,10,25,10,20,0,10,35,5,10,15,30,90,25,20,20,70
Income of households in 2020,Total - Household after-tax income groups in 2020 for private households - 100% data,235,220,295,210,230,185,350,225,320,1090,215,290,225,205,295,215,210,205,390,285,375,170,200,805,325,590,580,275,170,165,330,405,345,255,435,675
Income of households in 2020,"  Under $5,000",0,0,5,5,0,0,0,0,5,20,0,0,0,0,0,0,0,0,0,5,5,5,0,25,5,10,10,0,0,0,0,10,0,5,0,15
Income of households in 2020,"  $5,000 to $9,999",0,0,0,0,0,0,5,5,5,20,0,0,0,0,0,0,0,0,0,5,0,0,0,15,10,0,0,0,0,0,0,0,0,5,0,0
Income of households in 2020,"  $10,000 to $14,999",0,0,0,0,0,0,10,0,5,15,0,0,0,0,0,0,0,0,0,10,5,0,10,15,35,0,5,5,0,0,0,0,5,0,0,5
Income of households in 2020,"  $15,000 to $19,999",5,0,5,5,0,0,10,10,5,15,0,5,5,0,0,0,0,0,10,20,10,0,5,35,30,10,10,10,0,0,0,5,10,5,5,0
Income of households in 2020,"  $20,000 to $24,999",10,0,20,5,5,0,10,10,20,50,0,10,10,0,5,0,0,0,15,55,10,0,10,40,55,30,10,10,5,0,5,10,40,10,15,10
Income of households in 2020,"  $25,000 to $29,999",10,5,10,10,10,5,25,10,15,50,0,10,10,0,0,0,0,0,10,10,30,5,10,55,25,50,20,15,5,5,5,15,25,10,20,5
Income of households in 2020,"  $30,000 to $34,999",10,5,20,5,5,0,30,20,15,35,5,15,15,5,5,5,0,0,10,25,25,10,10,50,25,45,30,20,10,0,15,15,15,10,15,15
Income of households in 2020,"  $35,000 to $39,999",10,10,25,15,5,5,25,15,15,50,0,15,5,0,5,0,5,0,15,20,30,5,20,30,25,40,25,30,5,0,10,15,40,15,20,15
Income of households in 2020,"  $40,000 to $44,999",10,5,20,10,15,10,25,10,20,50,5,15,15,5,5,5,10,10,10,25,20,5,5,45,10,50,25,10,5,10,15,15,20,15,35,15
Income of households in 2020,"  $45,000 to $49,999",10,10,20,10,5,10,30,15,20,30,10,10,10,0,10,5,10,10,10,5,25,10,15,45,10,35,30,30,5,5,15,20,25,15,30,10
Income of households in 2020,"  $50,000 to $59,999",10,20,40,15,25,10,45,25,35,100,20,35,20,10,20,15,15,10,25,20,45,15,20,90,25,75,60,35,20,15,45,25,30,20,50,60
Income of households in 2020,"  $60,000 to $69,999",20,25,35,15,15,20,40,10,40,105,15,25,15,0,15,15,5,15,35,20,30,15,15,75,20,55,55,20,15,10,35,30,30,30,45,65
Income of households in 2020,"  $70,000 to $79,999",10,25,15,20,15,5,15,15,25,70,25,20,15,5,25,20,15,15,30,10,40,5,20,70,15,40,50,10,20,15,30,25,10,20,40,65
Income of households in 2020,"  $80,000 to $89,999",15,20,20,20,20,10,20,15,20,85,15,20,15,10,25,20,15,15,20,10,25,10,10,55,5,45,50,20,15,20,25,30,15,15,30,55
Income of households in 2020,"  $90,000 to $99,999",15,15,20,10,15,10,15,10,15,55,10,20,15,10,25,15,25,15,15,10,20,10,5,45,10,25,45,10,10,15,30,25,10,15,15,60
Income of households in 2020,"  $100,000 and over",95,70,40,60,95,95,50,45,60,330,100,80,70,155,145,100,90,110,175,30,55,60,45,125,10,85,160,50,50,70,105,155,60,60,100,275
Income of households in 2020,"    $100,000 to $124,999",50,30,20,15,40,20,30,25,30,115,25,35,40,25,45,35,35,40,40,10,30,15,15,70,0,55,60,30,20,25,40,40,20,20,55,105
Income of households in 2020,"    $125,000 to $149,999",20,20,10,15,25,20,10,5,10,75,25,20,20,25,45,25,30,35,40,0,10,15,15,25,5,15,45,15,15,15,30,25,15,15,15,70
Income of households in 2020,"    $150,000 and over",25,20,10,20,25,55,10,25,20,145,60,25,15,100,55,35,20,35,95,15,15,30,15,25,0,10,50,15,10,25,35,95,30,25,25,100
Main mode of commuting,Total - Main mode of commuting for the employed labour force aged 15 years and over with a usual place of work or no fixed workplace address - 25% sample data,190,160,180,145,130,145,130,105,130,405,170,145,130,140,225,165,180,215,240,150,225,115,155,435,110,205,375,115,160,145,325,335,200,200,290,750
Main mode of commuting,"  Car, truck or van",175,140,110,115,100,105,95,65,80,310,150,110,95,100,210,140,170,200,200,105,140,90,110,270,80,185,325,105,125,125,285,275,180,175,230,665
Main mode of commuting,"    Car, truck or van - as a driver",160,130,110,100,95,90,95,60,80,275,145,90,95,95,195,130,160,180,175,90,125,80,105,230,60,170,275,100,115,120,255,240,155,145,215,595
Main mode of commuting,"    Car, truck or van - as a passenger",15,0,0,10,10,15,0,0,0,30,0,20,0,0,10,0,10,15,15,15,15,10,0,45,20,20,45,0,10,0,25,40,20,25,15,70
Main mode of commuting,  Public transit,0,10,35,0,10,10,10,15,20,25,0,10,0,0,0,10,0,0,15,35,30,0,40,70,25,0,35,0,10,10,25,25,10,15,45,40
Main mode of commuting,  Walked,,0,15,15,15,20,20,25,0,0,10,,15,10,45,0,15,0,75,15,0,25,15,10,10,10,0,,20,25,15,15,15,55,0,30
Main mode of commuting,  Bicycle,,0,0,0,0,0,15,0,0,0,10,,0,0,0,0,10,0,10,15,0,0,0,0,0,0,0,,0,0,0,15,0,0,0,0
Main mode of commuting,  Other method,,0,25,15,0,0,0,0,10,10,0,,0,10,0,10,0,0,20,0,0,0,20,0,0,0,0,,0,0,0,0,0,10,0,0
,,24067.2,21166.5,23245.2,16713.7,22811.2,18226.5,27014.4,14550,23723.7,88430,19386,21099,18566.8,23535.5,31879.8,22361.4,22533,25065.6,40814.6,20567.5,32634,13314.4,16054.5,54489.6,22625.2,56180.8,45286.2,18533.5,16564,18495,32271.5,39569.2,30000.4,20412,35771.4,70246.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,23500000,23540000,21830000,19475000,24975000,27380000,25340000,18000000,29120000,117502000,30530000,30450000,22725000,45920000,39825000,26660000,25410000,22550000,51090000,17328000,27750000,24480000,20295000,51681000,13130000,39412000,55224000,20075000,15300000,16005000,42570000,57307500,27336000,21930000,38454000,78975000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.017091743,0.001343066,-0.009060606,-0.008342569,0.009764151,0.016496552,0.05202381,-0.025024,0.012867133,0.039841004,-0.038440111,-0.013446154,-0.047449857,0.028989059,-0.007628141,-0.029918699,0.016496552,-0.02663807,0.027356828,0.015297921,0.020027211,-0.025828877,-0.017205195,-0.01796875,0.029528384,0.082705479,-0.035834254,-0.031585831,-0.003415842,0.001343066,-0.009782278,-0.012705882,0.006587112,-0.037566667,-0.040201681,-0.053107872
,,0.004356,0.061641121,-0.303302703,-0.041730526,0.091131532,0.288348649,-0.329453039,-0.214555,-0.082246154,0.067714286,0.263349296,0.046053333,0.013025743,0.4890875,0.231374815,0.173835484,0.156327273,0.08396,0.211569466,-0.560203947,-0.303302703,0.271913889,-0.004488889,-0.483931464,-1.287435644,-0.430844311,-0.047588983,-0.319512329,-0.092937778,-0.022725773,0.201206202,0.261170318,-0.209109453,-0.138190698,-0.110547511,0.131586325
,,0.978552257,0.937015813,1.312363309,1.050073095,0.899104317,0.695154799,1.277429229,1.239579,1.069379021,0.89244471,0.775090815,0.967392821,1.034424114,0.481923441,0.776253326,0.856083215,0.827176175,0.94267807,0.761073706,1.544906026,1.283275492,0.753914988,1.021694084,1.501900214,2.25790726,1.348138832,1.083423237,1.35109816,1.09635362,1.021382707,0.808576076,0.751535564,1.202522341,1.175757365,1.150749192,0.921521547
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41.59238513,37.15736206,59.3175092,34.04021952,37.24629544,22.42777928,52.72205914,37.0336622,45.53522809,127.1287489,32.22827609,40.29868274,42.37414941,19.11067405,47.87697639,39.94655498,32.99274892,48.77793405,52.68380515,56.5049379,73.12103753,20.66631765,32.80557534,164.1021231,85.88627636,99.86203584,104.3629102,52.53745195,34.61188378,35.3909108,50.86671237,58.56265729,66.2974617,51.3323908,88.78490316,145.3202619
Public Transport Population,,41,37,59,34,37,22,52,37,45,127,32,40,42,19,47,39,32,48,52,56,73,20,32,164,85,99,104,52,34,35,50,58,66,51,88,145
